userId,productId,rating,timestamp
1,1,5.0,1642345200
1,2,4.5,1642431600
1,3,4.0,1642518000
1,4,5.0,1642604400
1,5,4.5,1642690800
1,21,5.0,1642777200
1,22,5.0,1642863600
1,24,4.5,1642950000
1,25,5.0,1643036400
1,27,4.5,1643122800
1,31,5.0,1643209200
1,32,4.0,1643295600
1,33,4.5,1643382000
1,35,4.0,1643468400
1,36,4.5,1643554800
1,37,5.0,1643641200
1,38,4.5,1643727600
1,41,5.0,1643814000
1,43,4.5,1643900400
1,48,4.0,1643986800
1,50,4.5,1644073200
1,51,5.0,1644159600
1,52,4.0,1644246000
1,55,4.5,1644332400
1,62,4.0,1644418800
1,70,4.5,1644505200
1,76,4.0,1644591600
1,78,3.5,1644678000
1,81,4.5,1644764400
1,84,4.0,1644850800
1,95,5.0,1644937200
1,96,5.0,1645023600
1,100,4.0,1645110000
1,103,4.5,1645196400
1,113,5.0,1645282800
1,120,4.5,1645369200
1,123,5.0,1645455600
1,130,5.0,1645542000
1,149,5.0,1645628400
1,150,5.0,1645714800
1,151,5.0,1645801200
1,152,4.5,1645887600
1,153,5.0,1645974000
1,154,4.5,1646060400
1,156,5.0,1646146800
1,159,4.5,1646233200
1,164,4.0,1646319600
1,177,4.5,1646406000
1,180,4.0,1646492400
1,182,4.5,1646578800
1,190,4.5,1646665200
1,194,4.0,1646751600
2,1,4.5,1646838000
2,6,4.0,1646924400
2,9,3.5,1647010800
2,10,4.0,1647097200
2,16,4.0,1647183600
2,18,4.5,1647270000
2,24,5.0,1647356400
2,26,4.5,1647442800
2,28,4.0,1647529200
2,29,4.5,1647615600
2,45,4.0,1647702000
2,46,4.5,1647788400
2,47,4.0,1647874800
2,66,4.5,1647961200
2,75,4.0,1648047600
2,80,4.5,1648134000
2,94,2.0,1648220400
2,98,4.0,1648306800
2,99,4.5,1648393200
2,101,4.0,1648479600
2,104,3.5,1648566000
2,105,3.0,1648652400
2,106,3.5,1648738800
2,107,2.5,1648825200
2,108,4.0,1648911600
2,109,4.5,1648998000
2,110,4.0,1649084400
2,111,3.5,1649170800
2,112,3.0,1649257200
2,115,4.5,1649343600
